300
('O', (2, 3), (2, 2)), 290.99943375005387
('X', (3, 0), (3, 1)), 282.90585733391345
('X', (1, 0), (1, 1)), 288.7480753331911
('O', (4, 3), (3, 3)), 265.80866904207505
('O', (4, 2), (3, 2)), 280.0844281250611
('O', (4, 4), (4, 3)), 248.7086984999478
('O', (0, 4), (1, 4)), 271.6812906251289
('O', (0, 3), (1, 3)), 231.60545395780355
('O', (0, 1), (0, 2)), 263.5302200410515
('X', (3, 0), (2, 0)), 214.49849929078482
('X', (4, 0), (5, 0)), 255.62377516622655
('X', (4, 1), (5, 1)), 213.4590608747676
('X', (4, 0), (4, 1)), 247.95439570816234
('O', (0, 0), (0, 1)), 213.45652641681954
('O', (1, 0), (0, 0)), 240.5152068331372
('O', (1, 2), (2, 3)), 213.4558148337528
