300
('X', (2, 3), (3, 3)), 283.38241020799614
('O', (5, 2), (4, 2)), 282.90608712495305
('X', (2, 2), (2, 3)), 266.76183208287694
('O', (5, 3), (4, 3)), 265.8092505419627
('X', (1, 2), (2, 2)), 250.13820483302698
('X', (1, 0), (1, 1)), 248.70928158401512
('X', (4, 0), (4, 1)), 233.51131645799614
('X', (1, 0), (2, 0)), 231.6058106259443
('O', (5, 1), (5, 0)), 216.88058345811442
('X', (0, 0), (1, 0)), 214.49685929203406
('X', (0, 4), (1, 4)), 214.40164004126564
('O', (5, 3), (5, 4)), 197.3828410420101
('X', (0, 0), (0, 1)), 196.58266174932942
('O', (5, 2), (5, 1)), 180.26496095908806
('X', (3, 0), (3, 1)), 178.75956208235584
('O', (5, 3), (5, 2)), 180.176640417194
('O', (1, 3), (1, 2)), 160.92789704049937
('O', (0, 3), (0, 4)), 180.11949562537484
('O', (1, 3), (0, 3)), 143.09391491557471
('O', (5, 3), (1, 3)), 180.10313525027595
('X', (4, 0), (3, 0)), 125.25579487369396
('X', (0, 0), (4, 0)), 180.10109466710128
