300
('O', (2, 3), (2, 2)), 283.3824751251377
('X', (3, 0), (3, 1)), 282.90624595899135
('O', (3, 3), (2, 3)), 266.7620330422651
('X', (2, 0), (2, 1)), 265.8094525421038
('O', (3, 4), (3, 3)), 250.13843995938078
('O', (5, 4), (4, 4)), 248.70927137625404
('O', (5, 1), (4, 1)), 233.5108039593324
('O', (5, 4), (5, 3)), 241.39730600104667
('X', (4, 0), (5, 0)), 216.81231829337776
('O', (5, 5), (5, 4)), 223.5641552931629
('O', (1, 5), (1, 4)), 200.1828790854197
('X', (2, 0), (1, 0)), 205.7126055432018
('O', (5, 5), (4, 5)), 183.53970525157638
('X', (3, 0), (4, 0)), 201.67949121026322
('O', (5, 2), (4, 2)), 166.90297816763632
('X', (2, 0), (3, 0)), 201.61739133531228
('X', (2, 4), (3, 4)), 150.26055587572046
('X', (2, 5), (1, 5)), 201.58149562613107
('X', (2, 4), (2, 5)), 133.6134318348486
('X', (2, 0), (2, 4)), 201.5717765840236
('O', (5, 1), (5, 2)), 116.96065095975064
('O', (5, 5), (5, 1)), 201.57089158403687
