300
('O', (3, 2), (2, 2)), 283.38221529196016
('X', (4, 3), (3, 3)), 290.99932679207996
('O', (4, 2), (3, 2)), 266.7617876250297
('X', (4, 4), (4, 3)), 282.2687957920134
('O', (4, 0), (4, 1)), 250.13827324984595
('X', (3, 4), (2, 4)), 273.8000486250967
('O', (3, 0), (3, 1)), 233.51138845877722
('X', (5, 4), (5, 3)), 265.5854678330943
('O', (4, 0), (5, 0)), 216.88109658379108
('X', (4, 4), (3, 4)), 257.61738858302124
('O', (3, 0), (2, 0)), 200.24694583378732
('X', (5, 4), (5, 5)), 254.95900220796466
('O', (4, 0), (3, 0)), 183.60866024973802
('X', (4, 4), (4, 5)), 254.88180029089563
('O', (1, 0), (1, 1)), 166.96605220786296
('O', (0, 0), (0, 1)), 254.8805875829421
('X', (5, 4), (4, 4)), 150.31858670781367
('X', (5, 2), (4, 2)), 254.88031837483868
