300
('O', (3, 2), (2, 2)), 283.38243691716343
('X', (4, 3), (3, 3)), 290.999354749918
('O', (4, 2), (3, 2)), 266.7619133342523
('X', (4, 4), (4, 3)), 282.2686398748774
('X', (1, 4), (2, 4)), 250.138339959085
('X', (0, 4), (0, 3)), 273.80004033399746
('X', (1, 4), (1, 3)), 233.5114998340141
('O', (5, 2), (5, 3)), 265.5855091260746
('X', (1, 5), (1, 4)), 216.88116691703908
('O', (5, 1), (4, 1)), 257.6173960012384
('O', (5, 0), (4, 0)), 200.24707687599584
('X', (5, 5), (4, 5)), 249.88826700136997
('O', (5, 2), (5, 1)), 199.92045970913023
('X', (5, 4), (5, 5)), 242.39106833422557
('O', (4, 2), (5, 2)), 199.89933520904742
('X', (4, 4), (5, 4)), 235.1183037091978
('O', (1, 2), (1, 1)), 199.89416295895353
('O', (0, 2), (1, 2)), 232.05151204229333
('O', (0, 1), (0, 2)), 199.89389425097033
