300
('O', (3, 2), (2, 2)), 283.3823663748335
('X', (4, 3), (3, 3)), 290.9994085000362
('O', (4, 2), (3, 2)), 266.7619185419753
('X', (4, 4), (4, 3)), 282.26886729197577
('O', (4, 0), (4, 1)), 250.13832016685046
('X', (3, 4), (2, 4)), 273.7998737501912
('O', (3, 0), (3, 1)), 233.50896987481974
('X', (5, 4), (5, 3)), 265.5844946252182
('O', (4, 0), (5, 0)), 216.87880158401094
('O', (3, 0), (2, 0)), 257.6162725831382
('X', (5, 5), (4, 5)), 216.0642361259088
('X', (5, 4), (4, 4)), 249.88722741627134
('O', (4, 0), (3, 0)), 216.0616528338287
('O', (1, 0), (0, 0)), 242.3900574571453
('O', (1, 1), (1, 0)), 216.0602515009232
