300
('O', (3, 2), (2, 2)), 283.38239541696385
('X', (4, 3), (3, 3)), 290.9994352918584
('O', (4, 2), (3, 2)), 266.76188041688874
('X', (4, 4), (4, 3)), 282.2689017918892
('O', (4, 0), (4, 1)), 250.13832758390345
('X', (3, 4), (2, 4)), 273.8001594997477
('O', (3, 0), (3, 1)), 233.51131795882247
('X', (5, 4), (5, 3)), 265.58552291686647
('O', (4, 0), (5, 0)), 216.8809511247091
('O', (3, 0), (4, 0)), 257.6174092500005
('X', (3, 4), (4, 4)), 200.24667858262546
('X', (3, 5), (2, 5)), 249.88775645801798
('O', (0, 0), (0, 1)), 183.6084530404769
('X', (5, 5), (4, 5)), 246.70747274998575
('O', (2, 0), (1, 0)), 166.9656756655313
('O', (2, 1), (2, 0)), 246.65052208304405
('O', (1, 1), (1, 2)), 166.95894137350842
('O', (2, 1), (1, 1)), 246.65010933298618
('X', (5, 4), (5, 5)), 166.95480633154511
('O', (2, 3), (1, 3)), 246.6499554158654
